NOME_DO_CURSO,MODALIDADE,TURNO,CIDADE,LOCAL,PRECO,PRECO_COM_DESCONTO
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO XAVIER,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTO XAVIER,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTAO,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTAO,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,PORTAO,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,QUARAI,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,QUARAI,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,QUARAI,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,RIO GRANDE,CENTRO,395.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,RIO GRANDE,CENTRO,395.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,RIO GRANDE,CENTRO,395.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,RODEIO BONITO,CENTRO,389.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,RODEIO BONITO,CENTRO,389.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,RODEIO BONITO,CENTRO,389.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,RONDA ALTA,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,RONDA ALTA,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,RONDA ALTA,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SALDANHA MARINHO,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SALDANHA MARINHO,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SALDANHA MARINHO,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANANDUVA,CENTRO,441.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANANDUVA,CENTRO,441.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANANDUVA,CENTRO,441.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANTA BARBARA DO SUL,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANTA BARBARA DO SUL,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANTA BARBARA DO SUL,CENTRO,423.05,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANTA CRUZ DO SUL,CENTRO,414.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANTA CRUZ DO SUL,CENTRO,414.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANTA CRUZ DO SUL,CENTRO,414.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANTA ROSA,CENTRO,387.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANTA ROSA,CENTRO,387.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANTA ROSA,CENTRO,387.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANTO ANGELO,CENTRO,389.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANTO ANGELO,CENTRO,389.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SANTO ANGELO,CENTRO,389.17,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO JERONIMO,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO JERONIMO,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO JERONIMO,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO LUIZ GONZAGA,CENTRO,385.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO LUIZ GONZAGA,CENTRO,385.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO LUIZ GONZAGA,CENTRO,385.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAPIRANGA,CENTRO,418.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAPIRANGA,CENTRO,418.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAPIRANGA,CENTRO,418.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAPUCAIA DO SUL,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAPUCAIA DO SUL,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAPUCAIA DO SUL,CENTRO,464.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SARANDI,CENTRO,380.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SARANDI,CENTRO,380.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SARANDI,CENTRO,380.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SEGREDO,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SEGREDO,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SEGREDO,CENTRO,394.83,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SOLEDADE,CENTRO,381.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SOLEDADE,CENTRO,381.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SOLEDADE,CENTRO,381.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO BORJA,CENTRO,380.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO BORJA,CENTRO,380.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO BORJA,CENTRO,380.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO GABRIEL,CENTRO,380.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO GABRIEL,CENTRO,380.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO GABRIEL,CENTRO,380.67,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SÃO LEOPOLDO,CENTRO,458.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SÃO LEOPOLDO,CENTRO,458.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SÃO LEOPOLDO,CENTRO,458.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO LOURENCO DO SUL,CENTRO,411.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO LOURENCO DO SUL,CENTRO,411.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO LOURENCO DO SUL,CENTRO,411.5,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO MIGUEL DAS MISSOES,CENTRO,423.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO MIGUEL DAS MISSOES,CENTRO,423.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,SAO MIGUEL DAS MISSOES,CENTRO,423.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,TABAI,CENTRO,382.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,TABAI,CENTRO,382.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,TABAI,CENTRO,382.33,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,TERRA DE AREIA,CENTRO,423.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,TERRA DE AREIA,CENTRO,423.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,TERRA DE AREIA,CENTRO,423.0,139.0
Banco de Dados,TOTAL EAD,VIRTUAL,TORRES,CENTRO,447.5,139.0
